Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes
Sound of Metal,2019,97,117.007,Darius Marder,"Riz Ahmed, Olivia Cooke, Paul Raci, Mathieu Amalric","During a series of adrenaline-fueled one-night gigs, itinerant punk-metal drummer Ruben (Riz Ahmed) begins to experience intermittent hearing loss. When...",516819.0,Drama,7.7,82.0,120.0,119242.0
Night Comes On,2018,98,100.575,Jordana Spiro,"Dominique Fishback, Tatum Marilyn Hall, James McDaniel, John Earl Jelks","Released from juvenile detention, a teen and her 10-year-old sister embark on a quest to avenge the death of their...",,,,,,
One Child Nation,2019,98,103.683,Nanfu Wang,,"After becoming a mother, a filmmaker uncovers the untold history of China's one-child policy and the generations of parents and...",254450.0,,,,,
The Band's Visit,2007,98,102.605,Eran Kolirin,"Sasson Gabai, Ronit Elkabetz, Saleh Bakri, Khalifa Natour",The eight Egyptian musicians who comprise the Alexandria Ceremonial Police Orchestra arrive by mistake in a small town in Israel's...,,,,,,
Blow the Man Down,2019,98,106.56,Bridget Savage Cole,"Sophie Lowe, Morgan Saylor, June Squibb, Marceline Hugot","Welcome to Easter Cove, a salty fishing village on the far reaches of Maine's rocky coast. Grieving the loss of...",,Comedy,6.4,72.0,91.0,10231.0
Blackfish,2013,98,103.122,Gabriela Cowperthwaite,"Tilikum, John Hargrove, Samantha Berg, Mark Simmons","The story of Tilikum, a captive killer whale that has taken the lives of several people, underscores problems within the...",2354875.0,,,,,
The Big Sick,2017,98,121.569,Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano","Kumail is a Pakistani comic, who meets an American graduate student named Emily at one of his stand-up shows. As...",56868677.0,Comedy,7.5,86.0,120.0,132924.0
Ash Is Purest White,2018,99,108.255,Jia Zhangke,"Zhao Tao, Liao Fan, Feng Xiaogang, Diao Yi-nan","In an industrial city in China, a young dancer named Qiao falls in love with a mobster named Bin. When...",,,,,,
Uncorked,2020,91,93.565,Prentice Penny,"Mamoudou Athie, Courtney B. Vance, Niecy Nash, Sasha Compère",A young man upsets his father when he pursues his dream of becoming a master sommelier instead of joining the...,,,,,,
Stand by Me,1986,91,96.214,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell","After learning that a stranger has been accidentally killed near their rural homes, four Oregon boys decide to go see...",52287766.0,Drama,8.1,75.0,89.0,393352.0
The Willoughbys,2020,91,93.854,Kris Pearn,"Will Forte, Maya Rudolph, Alessia Cara, Terry Crews","Neglected by their parents, four old-fashioned siblings venture out into the modern world with their new nanny....",,Comedy,6.3,68.0,90.0,18306.0
I Am Mother,2019,91,93.894,Grant Sputore,"Hilary Swank, Clara Rugaard, Rose Byrne, Tahlia Sturzaker",A teenage girl is raised by a robot designed to repopulate Earth. Their bond is tested when a stranger arrives...,263452.0,Drama,6.7,64.0,113.0,88872.0
Full Metal Jacket,1987,92,97.375,Stanley Kubrick,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey","Stanley Kubrick's take on the Vietnam War follows smart-aleck Private Davis (Matthew Modine), quickly christened ""Joker"" by his foul-mouthed drill...",45015999.0,Drama,8.3,76.0,116.0,724229.0
Happy as Lazzaro,2018,91,95.784,Alice Rohrwacher,"Adriano Tardiolo, Tommaso Ragno, Nicoletta Braschi, Alba Rohrwacher","Lazzaro, a good-hearted young peasant, and Tancredi, a young nobleman cursed by his imagination, form a life-altering bond when Tancredi...",,,,,,
Taylor Swift: Miss Americana,2020,91,97.129,Lana Wilson,Taylor Swift,Pop singer Taylor Swift reveals intimate details of her life while showcasing backstage and onstage concert footage....,,,,,,
El Camino: A Breaking Bad Movie,2019,91,98.535,Vince Gilligan,"Aaron Paul, Matt Jones, Charles Baker",Jesse Pinkman flees from the police and tries to escape his inner turmoil....,,Drama,7.3,72.0,122.0,224266.0
High Flying Bird,2019,91,99.0,Steven Soderbergh,"Andre Holland, Zazie Beetz, Bill Duke, Sonja Sohn",A sports agent pitches a controversial business opportunity to a rookie basketball player during a lockout....,,,,,,
The White Tiger,2021,91,100.114,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha",Balram Halwai (Adarsh Gourav) narrates his epic and darkly humorous rise from poor villager to successful entrepreneur in modern India....,,Drama,7.1,76.0,125.0,58884.0
There Will Be Blood,2007,91,101.444,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds","Silver miner Daniel Plainview (Daniel Day-Lewis) leads a hardscrabble life with his son, H.W. (Dillon Freasier). When he hears about...",77208711.0,Drama,8.2,93.0,158.0,569777.0
The Disaster Artist,2017,91,117.27,James Franco,"James Franco, Dave Franco, Seth Rogen, Zac Efron",The incredible true story of aspiring filmmaker and Hollywood outsider Tommy Wiseau as he and his best friend defiantly pursue...,28717667.0,Comedy,7.3,76.0,104.0,150852.0
